Code,Prüfung,Studiengang,Sem.,PO,Prüfwoche,Prüfdatum,Tag,Beginn,Dauer,Prüfer,Prüfungsform,Zweitprüfer,Bemerkung
12011,Mathematik I,Bachelor EI,1,2016,1,26.01.22,Mi,08:00,1:30,Meier H.-G.,KL,Kerkhoff,
11011,Grundlagen der Elektrotechnik I,Bachelor EI,1,2016,2,01.02.22,Di,08:00,2:00,Wrede,KL,Gottkehaskamp,
14011,Naturwissenschaftliche Grundlagen I,Bachelor EI,1,2016,3,10.02.22,Do,08:00,2:00,Prochotta,KL,"Braun, A.",
13011,Grundlagen der Informatik I,Bachelor EI,1,2016,4,14.02.22,Mo,08:00,1:30,Gronau,KL,Pogatzki,
11021,Grundlagen der Elektrotechnik II,Bachelor EI,2,2016,3,07.02.22,Mo,14:00,2:00,Wrede,KL,Gottkehaskamp,
15011,Bauelemente,Bachelor EI,2,2016,3,09.02.22,Mi,08:30,1:30,Feige,KL,Kellner,
15011,Bauelemente,Bachelor EI,2,2016,3,09.02.22,Mi,08:30,1:30,Kellner,KL,Feige,
14021,Naturwissenschaftliche Grundlagen II,Bachelor EI,2,2016,4,18.02.22,Fr,11:00,1:30,Prochotta,KL,"Braun, A.",
12021,Mathematik II,Bachelor EI,2,2016,5,21.02.22,Mo,12:30,1:30,Meier H.-G.,KL,Kerkhoff,
13021,Grundlagen der Informatik II,Bachelor EI,2,2016,5,24.02.22,Do,11:00,1:00,Rieß,KL,Scheubel,
11031,Grundlagen der Elektrotechnik III,Bachelor EI,3,2016,1,28.01.22,Fr,11:00,1:30,Pogatzki,KL,Gronau,
15031,Software Engineering,Bachelor EI,3,2016,2,02.02.22,Mi,08:00,1:30,Lux,KL,Frese,
12031,Mathematik III,Bachelor EI,3,2016,2,05.02.22,Sa,13:00,1:30,Meier H.-G.,KL,Kerkhoff,
13031,Grundlagen der Informatik III,Bachelor EI,3,2016,3,08.02.22,Di,08:00,2:00,Scheubel,KL,Rieß,
15021,Schaltungstechnik,Bachelor EI,3,2016,3,11.02.22,Fr,16:30,2:00,Feige,KL,Kellner,
15021,Schaltungstechnik,Bachelor EI,3,2016,3,11.02.22,Fr,16:30,2:00,Kellner,KL,Feige,
15041,Grundlagen der Betriebswirtschaftslehre,Bachelor EI,3,2016,4,16.02.22,Mi,11:00,2:00,Lang,KL,Hermannns,
20071,Robotik,Bachelor EI,4,2016,1,26.01.22,Mi,15:00,1:00,Haehnel,KL,Feige,
50051,Mikroelektronische Sensoren,Bachelor EI,4,2016,1,27.01.22,Do,14:30,1:30,Scheubel,KL,Rieß,
40011,Embedded Systems I,Bachelor EI,4,2016,2,31.01.22,Mo,12:30,1:30,Protogerakis,KL,Lux,
40021,Datenübertragung und Protokolle,Bachelor EI,4,2016,2,04.02.22,Fr,09:30,2:00,Frese,KL,Pogatzki,
41021,Sicherheit in Netzen,Bachelor EI,4,2016,3,07.02.22,Mo,,,Frese,BP-HA + BP-V,Pogatzki,T.n.V. / Dauer: 20-40 Min
20021,Regelungstechnik,Bachelor EI,4,2016,3,10.02.22,Do,11:00,1:30,Beck,KL,Protogerakis,
42011,Höchstfrequenztechnik,Bachelor EI,4,2016,3,10.02.22,Do,08:00,1:30,Gronau,KL,Pogatzki,
20041,Aktorik,Bachelor EI,4,2016,4,14.02.22,Mo,13:00,1:30,Gottkehaskamp,KL,Wrede,
40031,Signal- und Systemtheorie,Bachelor EI,4,2016,4,14.02.22,Mo,10:00,2:00,Pogatzki,KL,Gronau,
50011,Halbleitergrundlagen,Bachelor EI,4,2016,4,14.02.22,Mo,12:30,1:00,Rieß,KL,Licht,
50041,Aufbau- und Verbindungstechnik,Bachelor EI,4,2016,4,15.02.22,Di,13:00,1:30,Licht,KL,Fülber,
41011,Software Engeineering II,Bachelor EI,4,2016,5,22.02.22,Di,08:00,1:30,Lux,KL,Frese,
42021,Schaltungen und Systeme,Bachelor EI,4,2016,5,23.02.22,Mi,09:00,2:00,Pogatzki,KL,Gronau,
40051,Nachrichtencodierung,Bachelor EI,5,2016,1,26.01.22,Mi,12:30,2:00,Pogatzki,KL,Gronau,
30041,Leistungselektronik und Antriebsregelung,Bachelor EI,5,2016,1,27.01.22,Do,08:00,2:00,Wrede,KL,Gottkehaskamp,
50031,Mikroelektronik,Bachelor EI,5,2016,2,31.01.22,Mo,12:00,2:00,Fülber,KL,Licht,
41031,Embedded Systems II,Bachelor EI,5,2016,2,01.02.22,Di,,,Mondwurf,M,Protogerakis,T.n.V. / Dauer: 20-40 Min
20061,Prozessleittechnik,Bachelor EI,5,2016,2,01.02.22,Di,13:30,2:00,Protogerakis,KL,Haehnel,
30011,Elektrische Maschinen,Bachelor EI,5,2016,2,03.02.22,Do,09:00,2:00,Gottkehaskamp,KL,Wrede,
50021,Halbleiterfertigung,Bachelor EI,5,2016,3,07.02.22,Mo,10:00,2:00,"Licht",KL,"Fülber",
20031,SPS & Sicherheitstechnik,Bachelor EI,5,2016,2,04.02.22,Fr,08:00,2:00,"Haehnel",KL,"Beck",
30021,Hochspannungstechnik & EMV,Bachelor EI,5,2016,3,09.02.22,Mi,11:00,2:00,Schoft,KL,Arlt,
